Facility,Drug,Month,Consumption,End_Stock,Stock_Out
Buea Regional Hospital,Amoxicillin,2023-01-31,230,1425,0
Buea Regional Hospital,Amoxicillin,2023-02-28,344,1195,0
Buea Regional Hospital,Amoxicillin,2023-03-31,341,851,0
Buea Regional Hospital,Amoxicillin,2023-04-30,399,510,0
Buea Regional Hospital,Amoxicillin,2023-05-31,272,1529,0
Buea Regional Hospital,Amoxicillin,2023-06-30,277,1257,0
Buea Regional Hospital,Amoxicillin,2023-07-31,273,981,0
Buea Regional Hospital,Amoxicillin,2023-08-31,245,708,0
Buea Regional Hospital,Amoxicillin,2023-09-30,110,463,0
Buea Regional Hospital,Amoxicillin,2023-10-31,395,354,0
Buea Regional Hospital,Amoxicillin,2023-11-30,384,0,1
Buea Regional Hospital,Amoxicillin,2023-12-31,197,0,1
Buea Regional Hospital,Amoxicillin,2024-01-31,284,0,1
Buea Regional Hospital,Amoxicillin,2024-02-29,259,492,0
Buea Regional Hospital,Amoxicillin,2024-03-31,262,0,1
Buea Regional Hospital,Amoxicillin,2024-04-30,147,0,1
Buea Regional Hospital,Amoxicillin,2024-05-31,268,941,0
Buea Regional Hospital,Amoxicillin,2024-06-30,366,673,0
Buea Regional Hospital,Amoxicillin,2024-07-31,523,307,0
Buea Regional Hospital,Amoxicillin,2024-08-31,350,0,1
Buea Regional Hospital,Amoxicillin,2024-09-30,328,984,0
Buea Regional Hospital,Amoxicillin,2024-10-31,277,656,0
Buea Regional Hospital,Amoxicillin,2024-11-30,271,378,0
Buea Regional Hospital,Amoxicillin,2024-12-31,394,1030,0
Buea Regional Hospital,ACTs,2023-01-31,229,2144,0
Buea Regional Hospital,ACTs,2023-02-28,280,1915,0
Buea Regional Hospital,ACTs,2023-03-31,164,1635,0
Buea Regional Hospital,ACTs,2023-04-30,187,1026,0
Buea Regional Hospital,ACTs,2023-05-31,114,839,0
Buea Regional Hospital,ACTs,2023-06-30,106,725,0
Buea Regional Hospital,ACTs,2023-07-31,267,619,0
Buea Regional Hospital,ACTs,2023-08-31,311,352,0
Buea Regional Hospital,ACTs,2023-09-30,196,41,1
Buea Regional Hospital,ACTs,2023-10-31,282,0,1
Buea Regional Hospital,ACTs,2023-11-30,231,0,1
Buea Regional Hospital,ACTs,2023-12-31,151,468,0
Buea Regional Hospital,ACTs,2024-01-31,231,317,0
Buea Regional Hospital,ACTs,2024-02-29,325,86,0
Buea Regional Hospital,ACTs,2024-03-31,199,821,0
Buea Regional Hospital,ACTs,2024-04-30,327,622,0
Buea Regional Hospital,ACTs,2024-05-31,80,1198,0
Buea Regional Hospital,ACTs,2024-06-30,268,1118,0
Buea Regional Hospital,ACTs,2024-07-31,209,850,0
Buea Regional Hospital,ACTs,2024-08-31,178,641,0
Buea Regional Hospital,ACTs,2024-09-30,209,463,0
Buea Regional Hospital,ACTs,2024-10-31,80,253,0
Buea Regional Hospital,ACTs,2024-11-30,185,1221,0
Buea Regional Hospital,ACTs,2024-12-31,231,1036,0
Buea Regional Hospital,Paracetamol,2023-01-31,286,1238,0
Buea Regional Hospital,Paracetamol,2023-02-28,244,952,0
Buea Regional Hospital,Paracetamol,2023-03-31,225,708,0
Buea Regional Hospital,Paracetamol,2023-04-30,278,483,0
Buea Regional Hospital,Paracetamol,2023-05-31,316,204,0
Buea Regional Hospital,Paracetamol,2023-06-30,257,0,1
Buea Regional Hospital,Paracetamol,2023-07-31,232,445,0
Buea Regional Hospital,Paracetamol,2023-08-31,244,212,0
Buea Regional Hospital,Paracetamol,2023-09-30,305,0,1
Buea Regional Hospital,Paracetamol,2023-10-31,278,0,1
Buea Regional Hospital,Paracetamol,2023-11-30,340,406,0
